"SMILES","name","LOGEC50","MolecularFormula","ATCH1","ATCH2","ATCH3","ATCH4","ATCH5","ATCH6","ATCH7","ATCH8","ATCH9","ATCH10","DIPV_X","DIPV_Y","DIPV_Z","DIPMOM","ESDL1","ESDL2","ESDL3","ESDL4","ESDL5","ESDL6","ESDL7","ESDL8","ESDL9","ESDL10","NSDL1","NSDL2","NSDL3","NSDL4","NSDL5","NSDL6","NSDL7","NSDL8","NSDL9","NSDL10","VDWVOL","SURF_A","MOFI_X","MOFI_Y","MOFI_Z","PEAX_X","PEAX_Y","PEAX_Z","MOL_WT","S8_1DX","S8_1DY","S8_1DZ","S8_1CX","S8_1CY","S8_1CZ","LOGP","M_PNT","SUM_F","SUM_R"
"Oc1c(cccc1NC=O)C(=O)NCCCCCCCCCCCCCC","J1","-0.85000002","C22H36N2O3","0.16869999","0.039099999","-0.0092000002","-0.1005","0.0027000001","-0.2403","-0.25209999","0.41769999","-0.41319999","-0.40329999","2.1993001","-1.7847","-0.0244","2.8324001","-0.54659998","-0.80540001","-1.7022001","-0.28920001","-1.2932","-1.4297","-0.40220001","-0.46579999","-0.60689998","-0.38960001","7.6718998","4.2388","1.1007","6.0696001","4.0671","1.0302","1.2752","1.456","0.49360001","0.67879999","379.99982","488.07489","766.60571","37378.305","36572.98","22.059","0.50739998","3.2328999","376.54135","17.0896","13.6199","7.0784001","11.1982","-4.9646001","-1.5653","7.2389998","81","0.25","-0.23"
"Clc1cc(NC(=O)c2cccc(NC=O)c2O)ccc1Oc1ccc(Cl)cc1","G2","-0.38","C20H14N2O4Cl2","0.175","0.040800001","-0.0055","-0.097999997","0.00089999998","-0.2499","-0.25209999","0.426","-0.3994","-0.32699999","-1.2508","-1.4858","0.3883","1.9806","-7.2024002","-3.7462001","-1.6016999","-5.5173001","-4.0391002","-1.3249","-1.3459001","-0.50840002","-0.6027","-0.47060001","0.79820001","0.9939","0.91350001","0.87900001","0.82279998","0.94139999","0.31169999","1.6497999","0.51050001","0.84850001","327.99991","386.58533","1686.4363","21047.635","19971.365","15.4115","1.9195","4.0844998","417.24887","11.8036","9.9589996","6.2589002","8.533","-1.2691","-1.2271","5.96","183","0.25","-0.23"
"Clc1cc(NC(=O)c2cc([N+](=O)[O-])ccc2O)ccc1Oc1ccc(Cl)cc1","B3","1.4","C19H12O5N2Cl2","0.26089999","-0.1463","0.092299998","-0.16159999","0.1116","-0.2897","-0.2131","0.42739999","-0.3942","-0.3242","0.1077","1.4632","0.44679999","1.5337","-5.8407998","-3.5818999","-0.83130002","-2.7471001","-1.2534","-1.0283999","-1.1591001","-0.73949999","-0.68919998","-0.46880001","1.0031","1.0779999","1.1817","1.7285","1.0289","1.1907001","0.37029999","2.2704999","0.71439999","1.0592","320.59991","379.91208","2651.7319","19371.611","17267.402","14.2916","1.8139","5.3462","419.22134","11.7737","10.0132","6.2308998","8.5326996","-1.3552001","-1.285","6.994","207","0.67000002","0.16"
"Clc1cc(NC(=O)c2cc(SC)ccc2O)ccc1Oc1ccc(Cl)cc1","G4","0.31999999","C20H15SO3NCl2","0.2325","-0.1373","0.052499998","-0.25659999","0.075300001","-0.2834","-0.23100001","0.4267","-0.3976","-0.3281","-3.1041999","-2.0453","-1.001","3.8498001","-2.0706","-1.3477","-1.3785","-1.8399","-2.3638999","-0.99809998","-0.6437","-0.45500001","-0.56230003","-0.4129","0.91210002","0.96460003","0.94859999","1.0544","0.80489999","0.96030003","0.33109999","1.7084","0.53570002","0.8624","328.7999","395.36938","2776.7034","19569.535","17354.977","14.3081","1.8358001","5.4702001","420.31082","11.7604","10.1024","6.2213998","8.5191002","-1.4426","-1.0338","7.3720002","143","0.2","-0.18000001"
"Clc1cc(NC(=O)c2cc(S(=O)C)ccc2O)ccc1Oc1ccc(Cl)cc1","A5","-0.88","C20H15O4NCl2S","0.2473","-0.14030001","0.0876","-0.46880001","0.1117","-0.28729999","-0.2236","0.42629999","-0.39610001","-0.32690001","0.026699999","-2.2836001","3.6789","4.3301001","-1.209","-0.8732","-1.1233","-1.0692","-1.528","-0.8362","-0.5079","-0.4483","-0.54860002","-0.37619999","1.1601","1.1509","1.0352","2.1675","0.9393","1.0662","0.37329999","1.8967","0.5984","0.93809998","342.29987","404.42609","3099.5256","21450.854","18866.434","14.6589","1.7244999","5.7286","436.31021","11.7727","10.6567","5.5288","8.5384998","-1.6179","-1.1429","5.73","165","0.51999998","0.0099999998"
"Clc1cc(NC(=O)c2cccc([N+](=O)[O-])c2O)ccc1Oc1ccc(Cl)cc1","M6","0.81999999","C19H12O5N2Cl2","0.2834","-0.16419999","0.1018","-0.1469","0.083300002","-0.29460001","-0.1885","0.4267","-0.38940001","-0.32480001","0.38010001","-8.0740995","0.38690001","8.0923004","-1.0867","-0.41460001","-0.79119998","-0.65549999","-0.58249998","-0.59549999","-0.495","-0.39109999","-0.5061","-0.32800001","1.1351","5.4842","3.7658","17.2603","18.237301","3.5904","0.3757","5.7845998","2.4672999","2.1601","320.59991","378.27496","1726.7526","20579.16","19403.096","15.1625","1.8192","4.1767001","419.22134","11.7962","9.9617996","6.2653999","8.5331001","-1.2725","-1.2412","6.994","192","0.67000002","0.16"
"Clc1cc(NC(=O)c2cc(ccc2O)C#N)ccc1Oc1ccc(Cl)cc1","B7","1.84","C20H12O3N2Cl2","0.23729999","-0.13689999","0.061900001","-0.075999998","0.073799998","-0.28130001","-0.2237","0.426","-0.39579999","-0.3267","-1.5168999","-0.5424","0.44420001","1.6711","-1.082","-0.81950003","-1.0338","-0.92860001","-1.3942","-0.77679998","-0.48609999","-0.4077","-0.52710003","-0.36489999","1.0388","1.0965","1.0528001","0.91009998","0.87660003","1.0322","0.3549","1.9231","0.61009997","0.93970001","313.79993","373.30637","2345.0713","17645.037","15850.812","14.0235","1.8648","5.1118999","399.23355","11.7825","9.9721003","6.257","8.5307999","-1.3163","-1.2838","6.7550001","256","0.50999999","0.19"
"FC(F)(F)c1ccc(Oc2ccc(NC(=O)c3cc([N+](=O)[O-])ccc3O)cc2)cc1","B8","1.02","C20H13O5N2F3","0.26010001","-0.14659999","0.092","-0.1618","0.1112","-0.28940001","-0.2138","0.42750001","-0.39829999","-0.3238","-0.035599999","3.7144001","1.2436","3.9172001","-8.4443998","-4.9053998","-0.86059999","-3.9635","-1.4281","-1.3369","-1.5322","-0.82179999","-0.7378","-0.54040003","0.995","1.063","1.154","1.6896","1.0187","1.1572","0.36849999","2.1169","0.65960002","1.001","321.59988","386.11441","2267.2917","22328.787","20831.539","15.6953","2.1538","4.7621002","418.32956","12.714","9.8966999","7.2800002","8.8228998","-1.916","-1.5777","6.6950002","199","0.67000002","0.16"
"Clc1cc(NC(=O)c2cccc(SC)c2O)ccc1Oc1ccc(Cl)cc1","G9","0.41999999","C20H15SO3NCl2","0.2323","-0.2545","0.064999998","-0.13079999","0.040100001","-0.27509999","-0.23190001","0.42570001","-0.39809999","-0.32789999","-2.3652","-3.7578001","-0.82169998","4.5155001","-5.2785001","-2.0048001","-1.6241","-3.5297","-2.5197001","-1.1995","-1.1224","-0.4962","-0.59240001","-0.4499","0.81660002","1.0563999","0.95359999","0.89349997","0.83890003","0.9515","0.31779999","1.6883","0.52689999","0.86129999","328.7999","396.11472","1822.8052","20390.836","19440.973","15.0954","2.2876999","4.0770998","420.31082","11.7836","9.9952002","6.2577","8.5281","-1.3386","-1.2163","7.3720002","151","0.2","-0.18000001"
"Clc1cc(NC(=O)c2cc(S(=O)(=O)C)ccc2O)ccc1Oc1ccc(Cl)cc1","A10","0","C20H15O5NCl2S","0.26210001","-0.1435","0.1007","-0.51459998","0.1454","-0.2904","-0.21699999","0.42719999","-0.3976","-0.32429999","-3.164","1.5843","-2.7014","4.4517999","-0.86669999","-0.76239997","-0.9508","-1.0341001","-1.2133","-0.70520002","-0.44960001","-0.55180001","-0.5905","-0.34729999","1.1427","1.2053","1.1734999","1.1778001","0.94690001","1.098","0.3793","2.0455999","0.65420002","0.96850002","353.59985","413.67645","3400.438","22357.971","19442.146","14.6221","1.6426001","5.9303002","452.3096","11.7258","10.6374","5.6009002","8.5063","-1.6703","-1.4219","5.6700001","195","0.54000002","0.22"
